Metric,ACO,Dijkstra,A*,Floyd-Warshall
SuccessRate,97.1429,100,100,100
AvgTime,0.0150536,0.000227286,0.000123177,0.00495518
TotalTime,1.05375,0.01591,0.0086224,0.346863
